# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
35.0,MS848,B737,-1.42097623,0.49765147,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS842,B737,-1.41464411,-0.45217120,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS841,B737,-1.61185250,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS843,B737,-0.94604263,-0.64337610,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS844,B737,-0.47582249,-0.44562184,9144.00000000,125.39168524,125.39168524,191.40498277,191.40498277,-110.85466009,156.03561057,121.05601575,0.63133796,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS845,B737,-0.28555461,0.01943601,9144.00000000,181.22864737,181.22864737,196.03497877,196.03497877,-195.98990787,-4.20344054,124.17871239,0.64660972,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS846,B737,-0.47536145,0.48490386,9144.00000000,239.55395173,239.55395173,190.27320597,190.27320597,-96.41653234,-164.03580463,120.29469055,0.62760486,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS847,B737,-0.93958286,0.68358236,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
40.0,MS848,B737,-1.41446277,0.49192172,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
45.0,MS842,B737,-1.40813066,-0.44644146,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
